match_id,winner,map,region,date_time
1076538179,1,Ranked Ice Mines,Latin America North,3/27/2021 5:01:07 AM
1076538205,0,Ranked Ice Mines,Brazil,3/27/2021 5:01:15 AM
1076538215,1,Ranked Frog Isle,Latin America North,3/27/2021 5:01:21 AM
1076538230,0,Ranked Ascension Peak,Brazil,3/27/2021 5:01:27 AM
1076538251,0,Ranked Serpent Beach,NA,3/27/2021 5:01:35 AM
1076538298,0,Ranked Ascension Peak,EU,3/27/2021 5:01:51 AM
1076538352,0,Ranked Ascension Peak,Brazil,3/27/2021 5:02:11 AM
1076538375,0,Ranked Jaguar Falls,Latin America North,3/27/2021 5:02:21 AM
1076538409,1,Ranked Serpent Beach,NA,3/27/2021 5:02:36 AM
1076538457,1,Ranked Ascension Peak,Latin America North,3/27/2021 5:02:55 AM
1076538478,1,Ranked Serpent Beach,Brazil,3/27/2021 5:03:02 AM
1076538528,1,Ranked Frozen Guard,Brazil,3/27/2021 5:03:23 AM
1076538568,0,Ranked Timber Mill,Brazil,3/27/2021 5:03:39 AM
1076538580,1,Ranked Splitstone Quarry,NA,3/27/2021 5:03:44 AM
1076538602,1,Ranked Frog Isle,Brazil,3/27/2021 5:03:52 AM
1076538628,0,Ranked Jaguar Falls,Brazil,3/27/2021 5:04:02 AM
1076538676,1,Ranked Jaguar Falls,Brazil,3/27/2021 5:04:21 AM
1076538748,1,Ranked Frog Isle,Latin America North,3/27/2021 5:04:49 AM
1076538752,1,Ranked Timber Mill,NA,3/27/2021 5:04:51 AM
1076538792,0,Ranked Frog Isle,Brazil,3/27/2021 5:05:05 AM
1076538824,0,Ranked Frog Isle,Southeast Asia,3/27/2021 5:05:19 AM
1076538851,0,Ranked Stone Keep,Brazil,3/27/2021 5:05:29 AM
1076538870,0,Ranked Splitstone Quarry,Latin America North,3/27/2021 5:05:35 AM
1076538880,0,Ranked Ice Mines,Latin America North,3/27/2021 5:05:40 AM
1076538950,0,Ranked Timber Mill,NA,3/27/2021 5:05:59 AM
1076538951,0,Ranked Timber Mill,NA,3/27/2021 5:05:59 AM
1076538965,1,Ranked Ice Mines,Southeast Asia,3/27/2021 5:06:03 AM
1076538994,1,Ranked Splitstone Quarry,NA,3/27/2021 5:06:15 AM
1076539026,1,Ranked Timber Mill,EU,3/27/2021 5:06:29 AM
1076539027,1,Ranked Stone Keep,NA,3/27/2021 5:06:29 AM
1076539066,0,Ranked Frozen Guard,Brazil,3/27/2021 5:06:45 AM
1076539091,1,Ranked Warder's Gate,Brazil,3/27/2021 5:06:55 AM
1076539142,0,Ranked Serpent Beach,Latin America North,3/27/2021 5:07:09 AM
1076539155,1,Ranked Frozen Guard,EU,3/27/2021 5:07:15 AM
