match_id,a_lvl1,a_lvl2,a_lvl3,a_lvl4,a_lvl5,tier1,tier2,tier3,tier4,tier5,wins1,wins2,wins3,wins4,wins5,losses1,losses2,losses3,losses4,losses5,champ1,champ2,champ3,champ4,champ5,assists1,assists2,assists3,assists4,assists5,deaths1,deaths2,deaths3,deaths4,deaths5,kills1,kills2,kills3,kills4,kills5,c_losses1,c_losses2,c_losses3,c_losses4,c_losses5,c_matches1,c_matches2,c_matches3,c_matches4,c_matches5,c_wins1,c_wins2,c_wins3,c_wins4,c_wins5
1076517010,260,57,272,119,367,17,13,10,10,9,102,37,218,75,124,92,35,207,80,125,2536,2267,2071,2404,2249,163,361,1281,174,2233,164,120,698,132,1253,242,56,639,133,2268,7,3,43,7,106,18,19,106,18,195,11,16,63,11,89
1076517090,390,174,181,344,209,13,8,11,16,8,111,28,27,197,21,122,23,20,187,23,2417,2348,2533,2147,2249,3918,386,1393,86,586,3585,180,398,125,350,4692,185,181,109,533,182,8,26,14,26,359,26,69,16,48,177,18,43,2,22
1076517092,550,82,661,698,408,25,16,14,20,14,221,47,13,156,15,211,45,19,152,7,2495,2348,2533,2491,2288,788,843,686,2626,141,760,517,116,981,75,986,467,64,878,103,40,36,16,59,3,82,81,28,158,10,42,45,12,99,7
1076517165,235,275,350,588,241,20,21,11,20,19,44,30,13,112,14,37,25,10,106,7,2093,2288,2277,2372,2420,338,146,315,1581,15,167,110,149,498,13,151,63,383,203,21,11,7,12,53,0,18,12,35,92,1,7,5,23,39,1
1076517167,789,115,683,144,948,26,23,21,26,25,125,60,54,92,71,106,38,65,80,62,2491,2149,2348,2092,2536,113,88,209,100,60,28,53,158,103,58,33,65,88,87,78,1,3,11,10,5,5,8,18,13,7,4,5,7,3,2
1076517212,186,330,432,56,605,12,12,19,20,18,2,29,62,51,116,5,29,62,47,113,2071,2404,2536,2092,2491,151,486,418,176,5915,84,325,360,151,2028,105,210,539,212,1481,5,20,16,11,136,11,39,43,17,356,6,19,27,6,220
1076517251,476,74,728,581,62,23,19,23,21,13,178,134,296,154,16,168,123,289,137,7,2417,2477,2057,2529,2267,0,57,106,1008,142,0,103,143,759,57,0,67,131,1244,23,0,8,10,48,3,0,10,13,96,8,0,2,3,48,5
1076517261,105,56,60,326,88,11,5,7,5,5,66,33,17,29,50,67,33,19,38,63,2277,2254,2314,2536,2479,96,45,162,20,475,92,14,192,20,396,154,6,153,30,227,5,1,9,0,20,10,2,19,3,46,5,1,10,3,26
1076517291,408,208,159,530,136,9,9,9,8,4,83,55,2,29,59,89,67,7,32,66,2314,2362,2528,2372,2417,699,63,76,878,56,618,52,59,322,49,693,100,28,83,53,29,4,4,28,1,64,8,6,52,5,35,4,2,24,4
1076517309,43,46,52,21,76,2,1,10,4,6,9,2,13,10,6,12,11,14,12,11,2071,2092,2528,2372,2491,331,35,18,209,20,210,60,21,143,27,153,35,12,15,12,17,5,2,9,2,32,6,2,13,3,15,1,0,4,1
1076517338,359,379,596,419,157,11,16,14,12,16,21,187,99,77,168,17,177,108,75,154,2348,2491,2307,2071,2495,1156,812,89,1971,52,583,380,91,1378,38,548,228,134,1468,59,46,20,6,71,1,96,51,9,177,6,50,31,3,106,5
1076517391,736,430,322,239,643,18,14,13,15,18,317,15,204,39,120,323,19,201,33,122,2362,2533,2092,2348,2477,6793,4599,253,590,403,7864,1349,227,573,411,9331,691,231,316,301,367,110,20,36,26,692,235,29,63,48,325,125,9,27,22
1076517396,295,212,120,253,362,14,15,12,13,10,127,66,14,64,7,126,69,19,56,12,2314,2205,2092,2533,2491,328,569,607,960,265,231,725,503,236,77,288,789,783,49,58,12,46,32,20,4,22,77,60,44,14,10,31,28,24,10
1076517413,317,352,868,464,963,23,22,23,20,25,125,15,66,66,241,119,15,76,67,217,2254,2417,2420,2071,2477,387,313,926,910,11650,144,217,739,675,9165,70,276,1240,393,9910,6,13,48,36,480,17,25,99,78,1143,11,12,51,42,663
1076517490,70,569,199,675,28,16,17,14,14,9,14,188,126,24,15,11,182,110,33,17,2092,2303,2512,2529,2205,0,3680,193,1105,71,0,1523,107,796,72,0,884,77,1354,126,0,107,7,50,5,0,219,17,115,11,0,112,10,65,6
1076517492,70,28,99,31,33,18,8,8,5,7,72,25,14,27,1,70,31,25,41,4,2417,2431,2348,2149,2205,43,126,50,355,3,48,48,44,233,9,47,26,24,137,8,3,3,3,17,1,4,8,4,32,1,1,5,1,15,0
1076517590,52,701,135,324,224,13,15,9,8,9,34,106,36,9,8,43,116,46,12,7,2338,2393,2479,2071,2372,171,1257,351,189,174,249,953,258,133,90,501,1505,170,54,20,10,51,15,8,4,26,104,29,15,9,16,53,14,7,5
1076517610,492,108,53,199,212,10,10,,13,7,17,17,2,48,103,13,23,1,46,104,2277,2073,2491,2071,2417,3470,509,16,158,53,4262,387,3,153,61,5586,214,3,61,38,159,23,0,13,3,399,48,1,19,6,240,25,1,6,3
1076517633,477,181,379,584,211,22,18,20,15,13,327,250,228,4,8,314,224,210,2,10,2529,2314,2071,2533,2288,837,91,1676,742,85,719,122,951,158,88,1076,84,778,97,66,41,8,69,15,8,85,12,155,36,13,44,4,86,21,5
1076517668,655,658,305,918,305,18,23,14,22,21,29,110,25,206,165,21,95,14,205,162,2480,2073,2431,2509,2071,1167,3127,2384,4924,693,859,1646,656,3581,533,1170,1097,345,6759,353,46,125,61,257,36,101,257,112,562,65,55,132,51,305,29
1076517813,50,395,663,112,170,17,19,16,14,14,67,80,64,75,35,59,74,62,72,35,2372,2348,2495,2479,2307,251,12071,5618,547,102,71,10687,5275,312,92,93,5666,7411,389,136,7,538,267,28,9,15,1144,609,48,14,8,606,342,20,5
1076517818,363,32,162,77,473,8,4,15,11,8,53,12,180,13,193,53,15,163,16,227,2057,2322,2338,2529,2533,3178,25,126,42,0,4791,28,224,50,0,4637,9,150,55,0,191,2,12,1,0,385,3,17,4,0,194,1,5,3,0
1076517841,33,310,999,518,712,17,20,16,26,22,7,194,211,117,163,5,208,214,100,160,2362,2528,2348,2249,2372,74,238,8037,964,2764,39,153,4569,513,528,110,178,4346,1316,392,2,9,302,38,70,5,19,655,86,147,3,10,353,48,77
1076517854,191,147,102,52,451,12,20,13,15,18,5,132,5,12,260,3,132,3,14,275,2092,2529,2285,2404,2533,737,377,406,21,15843,473,507,195,7,5166,893,521,355,7,2371,27,26,17,1,381,64,45,32,1,808,37,19,15,0,427
1076517857,542,999,508,209,362,24,22,20,21,22,99,135,308,34,110,98,120,310,33,93,2529,2348,2303,2147,2512,4314,2883,0,442,0,3105,2286,0,414,0,5626,1113,0,607,0,189,141,0,27,0,435,289,0,47,0,246,148,0,20,0
1076517880,65,44,38,90,669,15,12,,5,11,42,77,2,25,105,33,57,0,24,104,2529,2495,2073,2479,2491,33,61,57,313,218,31,32,31,258,79,53,68,17,175,28,2,2,1,15,7,4,6,5,31,14,2,4,4,16,7
1076517887,507,560,749,390,665,17,20,23,22,19,66,68,343,292,41,57,66,357,296,53,2372,2314,2288,2493,2477,598,997,421,10583,74,216,873,448,11018,89,65,941,281,17737,62,15,37,33,512,4,34,84,50,1160,10,19,47,17,648,6
1076517889,129,132,57,133,137,7,10,8,12,11,6,6,56,24,59,7,7,50,12,52,2093,2307,2491,2348,2477,21,20,120,0,47,10,28,75,0,40,10,51,17,0,35,1,2,5,0,2,2,4,10,0,5,1,2,5,0,3
1076517957,999,284,223,223,372,23,17,17,13,21,377,31,48,41,25,361,32,39,40,13,2533,2092,2479,2404,2094,975,271,2268,2056,428,313,252,1328,2090,312,145,290,1922,731,682,31,20,95,106,17,56,33,183,202,52,25,13,88,96,35
1076518008,82,542,533,643,294,14,12,12,6,6,69,96,20,22,10,61,92,17,19,16,2348,2249,2205,2533,2479,222,0,38,90,90,115,0,52,33,58,129,0,74,7,45,8,0,4,3,8,24,0,7,5,9,16,0,3,2,1
1076518040,875,315,999,773,953,24,21,26,21,16,165,24,67,51,42,157,25,53,40,38,2073,2420,2303,2393,2404,1075,1656,7670,0,0,430,1243,1981,0,0,461,2191,1276,0,0,31,82,185,0,0,78,172,414,0,0,47,90,229,0,0
1076518054,752,399,225,271,922,20,18,16,16,17,111,133,27,224,61,108,131,30,216,63,2495,2533,2493,2071,2404,2059,4337,142,1090,1888,1738,758,140,865,1361,2692,687,182,716,959,100,110,9,50,72,215,205,16,115,160,115,95,7,65,88
1076518109,238,478,969,174,245,19,22,18,18,20,60,99,345,58,94,64,88,354,64,95,2529,2420,2493,2303,2477,513,4311,0,236,9,450,5325,0,126,20,629,6918,0,35,7,25,241,0,14,1,52,511,0,17,2,27,270,0,3,1
1076518118,668,196,395,191,650,16,15,21,14,14,10,238,213,120,9,6,230,189,115,5,2348,2372,2529,2147,2288,1716,1553,128,492,1473,1218,701,91,387,1063,941,279,186,709,1061,57,43,7,13,54,145,99,14,48,123,88,56,7,35,69
1076518195,126,233,806,64,112,10,5,4,1,7,62,216,130,64,33,58,234,159,84,52,2393,2372,2071,2147,2073,871,0,0,215,149,688,0,0,332,96,788,0,0,144,53,41,0,0,21,6,84,0,0,40,13,43,0,0,19,7
1076518225,999,155,922,582,48,26,16,26,19,23,202,97,155,41,88,178,112,121,36,74,2254,2348,2205,2417,2512,1805,621,6017,373,0,545,525,5815,295,0,276,302,8908,347,0,45,32,288,20,0,85,64,651,36,0,40,32,363,16,0
1076518226,999,183,26,36,38,26,14,6,,,28,5,3,1,0,33,5,6,1,1,2417,2073,2477,2362,2056,0,3,23,2,2,0,9,32,9,9,0,0,23,1,1,0,1,2,1,1,0,1,4,1,1,0,0,2,0,0
1076518323,65,44,47,90,74,12,10,9,8,8,8,7,7,31,7,4,8,13,34,11,2285,2288,2528,2267,2362,13,260,87,210,11,5,162,58,115,7,13,149,33,47,6,0,11,5,9,0,1,23,8,14,1,1,12,3,5,1
1076518327,372,257,318,970,208,16,17,16,23,18,120,342,316,115,169,99,338,315,113,143,2372,2288,2071,2481,2205,3636,1128,180,363,391,1181,676,160,384,548,968,714,84,525,485,119,45,17,20,25,245,97,23,40,49,126,52,6,20,24
1076518337,500,160,258,247,236,17,11,15,5,12,38,26,102,40,132,35,32,96,41,118,2071,2517,2480,2479,2472,53,665,3241,533,0,23,334,2867,262,0,21,159,3237,255,0,1,18,132,13,0,4,42,284,37,0,3,24,152,24,0
1076518366,250,68,354,692,369,17,12,16,19,17,41,44,440,91,64,26,45,409,76,65,2372,2348,2147,2529,2512,650,245,799,985,366,215,126,708,901,225,39,136,1181,1183,196,18,7,41,41,19,36,22,91,95,34,18,15,50,54,15
1076518367,46,48,54,49,38,12,15,18,13,12,38,18,35,19,34,36,23,30,17,30,2073,2536,2420,2372,2288,69,15,0,125,212,25,1,0,33,119,34,16,0,6,145,2,0,0,2,6,5,1,0,9,17,3,1,0,7,11
1076518369,147,736,615,295,78,24,16,20,20,5,92,91,27,96,3,78,96,26,85,5,2205,2071,2533,2281,2477,923,645,1781,655,30,701,489,462,729,39,1529,311,153,795,33,40,27,33,38,3,105,61,85,73,6,65,34,52,35,3
1076518387,519,955,766,51,380,23,21,26,25,19,239,92,177,57,200,233,95,161,36,204,2517,2348,2288,2338,2529,1352,1064,0,320,0,446,801,0,250,0,316,546,0,441,0,40,57,0,11,0,89,101,0,35,0,49,44,0,24,0
1076518405,68,29,61,40,27,15,14,21,18,9,115,38,31,81,12,100,35,27,65,14,2431,2348,2493,2393,2092,1163,176,199,98,77,291,96,273,60,91,303,56,356,69,44,26,7,16,4,4,60,13,27,9,10,34,6,11,5,6
1076518413,368,399,212,59,167,5,18,11,10,3,140,18,175,14,14,150,16,167,11,5,2073,2529,2533,2420,2479,2643,54,2577,8,129,1389,48,926,1,20,836,72,260,9,66,81,3,63,0,1,196,6,133,1,8,115,3,70,1,7
1076518524,27,295,461,609,653,19,22,17,20,21,5,66,76,15,432,3,63,68,16,449,2491,2205,2071,2149,2495,0,362,340,520,0,0,305,239,316,0,0,536,112,346,0,0,9,22,20,0,0,36,34,42,0,0,27,12,22,0
1076518549,202,38,38,220,103,15,,,11,9,33,0,0,105,32,48,2,1,99,48,2285,2288,2493,2533,2205,373,8,7,0,148,290,17,21,0,121,411,2,10,0,144,21,1,1,0,8,36,1,1,0,14,15,0,0,0,6
1076518578,312,284,127,341,159,19,10,14,16,9,83,26,28,60,13,92,25,25,46,9,2092,2528,2073,2303,2094,664,218,563,655,0,605,85,406,209,0,890,81,224,74,0,46,6,26,18,0,85,13,48,36,0,39,7,22,18,0
1076518585,140,534,125,63,174,16,14,5,8,11,56,83,26,19,63,38,78,24,31,67,2348,2529,2372,2147,2417,1354,54,250,58,2,914,41,86,83,11,531,61,10,110,6,50,2,7,9,1,111,4,14,12,1,61,2,7,3,0
1076518608,353,305,365,476,140,13,7,11,16,13,54,79,9,38,118,44,92,4,24,123,2495,2491,2493,2477,2479,1575,378,163,0,378,1440,299,85,0,247,2440,140,165,0,203,57,18,3,0,17,181,30,12,0,30,124,12,9,0,13
1076518618,45,17,37,36,70,7,,11,14,,5,3,6,45,2,2,1,10,54,0,2528,2495,2093,2073,2517,879,31,0,135,174,476,18,0,28,118,360,22,0,89,49,25,0,0,1,10,65,2,0,5,16,40,2,0,4,6
1076518649,492,454,57,186,297,17,18,20,21,13,174,57,53,55,56,178,59,43,52,55,2491,2348,2277,2536,2528,2517,1391,55,248,17,1011,795,58,173,14,503,545,102,326,5,64,46,2,13,1,152,109,7,25,2,88,63,5,12,1
1076518665,157,319,458,451,635,10,18,16,13,9,66,185,209,9,186,80,175,204,11,175,2404,2529,2477,2372,2472,523,1095,619,1771,0,422,850,801,528,0,235,1387,489,227,0,22,45,44,43,0,47,103,83,91,0,25,58,39,48,0
1076518713,24,45,54,72,61,10,10,9,8,9,11,24,34,34,22,20,18,28,33,19,2205,2517,2512,2314,2528,21,377,308,31,181,24,171,164,8,61,31,101,119,19,98,2,8,6,0,2,3,25,25,3,11,1,17,19,3,9
1076518735,437,413,542,139,102,20,14,20,14,12,90,158,51,73,93,79,159,47,68,98,2481,2071,2529,2491,2479,300,1756,1776,1139,231,266,1153,1862,423,134,551,928,2656,336,152,13,68,78,30,10,32,139,177,72,25,19,71,99,42,15
1076518745,901,319,861,488,212,19,15,11,12,10,50,70,8,165,8,54,66,9,154,9,2057,2073,2277,2479,2267,11627,407,0,5128,880,13517,156,0,3406,297,18556,158,0,3250,124,602,11,0,194,28,1289,27,0,392,52,687,16,0,198,24
1076518811,90,172,140,255,999,19,25,21,19,26,90,155,59,96,346,86,137,58,90,344,2071,2417,2303,2288,2094,137,372,109,608,206,119,245,48,593,206,76,343,7,721,254,6,15,5,38,16,16,31,7,69,28,10,16,2,31,12
